epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1003,1.5618,1.64482,1.93529,0.25894,0.16,0.06046,0.03997,1.98984,3.7151,2.23417,3.334e-05,3.334e-05,3.334e-05
2,26.6032,1.91611,2.40878,2.06094,0.26017,0.16,0.07391,0.0444,1.89432,3.49412,2.16017,8.27999e-05,8.27999e-05,8.27999e-05
3,29.2731,1.4748,1.53202,1.74338,0.29842,0.256,0.12245,0.06386,1.80004,3.17387,2.05741,0.0001316,0.0001316,0.0001316
4,32.9503,1.78203,2.00978,2.04354,0.32297,0.336,0.18229,0.08105,1.78045,3.90382,2.02823,0.000179739,0.000179739,0.000179739
5,35.7845,1.54245,1.5974,1.8279,0.15988,0.28926,0.13304,0.05036,1.84716,8.20363,2.09167,0.000227219,0.000227219,0.000227219
6,38.6749,1.6785,1.77576,1.86932,0.11039,0.30674,0.11493,0.03854,1.98352,13.2501,2.2554,0.000274038,0.000274038,0.000274038
7,42.1199,1.33558,1.31185,1.54578,0.20321,0.312,0.15264,0.03919,2.17162,12.4617,2.46034,0.000320197,0.000320197,0.000320197
8,45.215,1.42136,1.26624,1.5764,0.29231,0.38001,0.19025,0.04874,2.21786,10.625,2.52907,0.000365696,0.000365696,0.000365696
9,48.8257,1.40404,1.41582,1.70831,0.32737,0.44,0.31048,0.08367,2.24895,7.24282,2.61367,0.000410535,0.000410535,0.000410535
10,51.7171,1.45879,1.40544,1.65525,0.36847,0.48077,0.33609,0.10243,2.19386,6.04045,2.5727,0.000454714,0.000454714,0.000454714
11,54.5456,1.53776,1.33189,1.75052,0.3925,0.664,0.41291,0.13263,2.16779,3.93452,2.52608,0.000498233,0.000498233,0.000498233
12,57.7887,1.5243,1.26879,1.59103,0.42211,0.696,0.47009,0.1518,2.16035,3.59308,2.51221,0.000541092,0.000541092,0.000541092
13,60.9595,1.70172,1.40389,1.73407,0.44849,0.592,0.47901,0.1441,2.28505,3.25881,2.62978,0.00058329,0.00058329,0.00058329
14,63.6396,1.63808,1.35305,1.61343,0.46216,0.672,0.52702,0.15054,2.30638,3.24231,2.56308,0.000624828,0.000624828,0.000624828
15,66.0985,1.66733,1.30125,1.64213,0.48467,0.592,0.57424,0.16155,2.26893,3.49502,2.46612,0.000665706,0.000665706,0.000665706
