epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13.876,1.59601,2.64161,2.08248,0.00333,1,0.23557,0.10243,0.63128,3.2603,1.60901,0,0,0,0,0,0,0,0
2,26.9701,1.42674,2.60627,1.75493,0.00333,1,0.26615,0.10949,0.64112,3.2479,1.6294,5.9406e-05,1.9802e-05,5.9406e-05,1.9802e-05,5.9406e-05,1.9802e-05,5.9406e-05,1.9802e-05
3,40.0772,1.16073,2.57138,1.58171,0.00333,1,0.23321,0.10695,0.6325,3.25601,1.62954,0.000117624,3.9208e-05,0.000117624,3.9208e-05,0.000117624,3.9208e-05,0.000117624,3.9208e-05
4,53.1033,1.75819,2.81101,2.10137,0.00333,1,0.25284,0.11893,0.64487,3.25567,1.62781,0.000174654,5.8218e-05,0.000174654,5.8218e-05,0.000174654,5.8218e-05,0.000174654,5.8218e-05
5,66.1138,1.43491,2.96005,1.8581,0.00333,1,0.24304,0.11305,0.67032,3.24281,1.65093,0.000230496,7.6832e-05,0.000230496,7.6832e-05,0.000230496,7.6832e-05,0.000230496,7.6832e-05
6,78.9004,1.25728,2.66846,1.94478,0.00333,1,0.24545,0.11336,0.68737,3.24157,1.65142,0.00028515,9.505e-05,0.00028515,9.505e-05,0.00028515,9.505e-05,0.00028515,9.505e-05
7,91.5853,1.3863,2.64929,1.80491,0.00333,1,0.24875,0.11132,0.70182,3.22801,1.66321,0.000338616,0.000112872,0.000338616,0.000112872,0.000338616,0.000112872,0.000338616,0.000112872
8,104.244,1.5711,2.82411,1.93852,0.00333,1,0.24875,0.11322,0.7098,3.21855,1.6758,0.000390894,0.000130298,0.000390894,0.000130298,0.000390894,0.000130298,0.000390894,0.000130298
9,116.948,1.5447,2.75634,1.81609,0.00333,1,0.24875,0.11332,0.70947,3.2245,1.68509,0.000441984,0.000147328,0.000441984,0.000147328,0.000441984,0.000147328,0.000441984,0.000147328
10,129.677,1.35148,2.66805,1.81079,0.00333,1,0.22962,0.11406,0.6895,3.23477,1.67746,0.000491886,0.000163962,0.000491886,0.000163962,0.000491886,0.000163962,0.000491886,0.000163962
